id.condition,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S020_G01_D02_B01_T02,210,0.1,21,189,0.639615633063592,0.64523871878743,0.638224508526944
S020_G01_D02_B01_T03,210,0.1,21,189,0.765767892181657,0.78260758137387,0.810117362284211
S020_G01_D02_B02_T01,210,0.1,21,189,0.859834848745572,0.880004361134026,0.875836255702969
S020_G01_D02_B02_T02,210,0.1,21,189,0.721139357311781,0.714891713087346,0.729704233905956
S020_G01_D02_B02_T03,214,0.1,21,193,0.803376419749462,0.837223000074944,0.799734103759503
S020_G01_D02_B03_T01,210,0.1,21,189,0.664901881853958,0.678632416508749,0.701899695691559
S020_G01_D02_B03_T02,210,0.1,21,189,0.794176798703314,0.812145837478475,0.803547867463481
S020_G01_D02_B03_T03,212,0.1,21,191,0.785923122488822,0.789371754830118,0.832570098103555
S021_G01_D01_B01_T01,199,0.1,19,180,0.907464505630978,0.938495533869132,0.90724541565985
S021_G01_D01_B01_T02,200,0.1,20,180,0.659516360046823,0.771650759167644,0.656375571805402
S021_G01_D01_B01_T03,199,0.1,19,180,0.773074618818308,0.761964952503298,0.763325910023717
S021_G01_D01_B02_T01,202,0.1,20,182,0.871082582150663,0.874547132422726,0.878998835132456
S021_G01_D01_B02_T02,199,0.1,19,180,0.72371530392367,0.737111431443236,0.741209884541305
S021_G01_D01_B02_T03,197,0.1,19,178,0.694691328687306,0.692037869299797,0.697438932141698
S021_G01_D01_B03_T01,199,0.1,19,180,0.722402436195316,0.720094444051473,0.723989804113274
S021_G01_D01_B03_T02,203,0.1,20,183,0.814686675600416,0.836302122777609,0.826698380454163
S021_G01_D01_B03_T03,209,0.1,20,189,0.770060355168824,0.76475031387317,0.777479935900755
S021_G01_D02_B01_T01,197,0.1,19,178,0.955779741455596,0.969556505123672,0.966764292239923
S021_G01_D02_B01_T02,197,0.1,19,178,0.885986370357672,0.905866447529631,0.874270446608095
