"id","rep","stride.intervals","drops","stride.intervals.cut","stride.intervals.new.length","h.original","h.random","h.contiguous"
"S127_G03_D01_B02_T01",100,50,0.02,1,49,0.582549432349624,0.588354203663541,0.587667269934879
"S127_G03_D01_B02_T01",100,50,0.04,2,48,0.582549432349624,0.588978203704527,0.586726712996261
"S127_G03_D01_B02_T01",100,50,0.06,3,47,0.582549432349624,0.590976179280437,0.590883433683699
"S127_G03_D01_B02_T01",100,50,0.08,4,46,0.582549432349624,0.591765430194647,0.585124532878711
"S127_G03_D01_B02_T01",100,50,0.1,5,45,0.582549432349624,0.589423527179128,0.585087308015507
"S127_G03_D01_B02_T01",100,100,0.02,2,98,0.666630592936883,0.65547890375047,0.651861439527564
"S127_G03_D01_B02_T01",100,100,0.04,4,96,0.666630592936883,0.652114078433646,0.652869719138052
"S127_G03_D01_B02_T01",100,100,0.06,6,94,0.666630592936883,0.648846332335586,0.652317677500241
"S127_G03_D01_B02_T01",100,100,0.08,8,92,0.666630592936883,0.653067540538821,0.649364614294819
"S127_G03_D01_B02_T01",100,100,0.1,10,90,0.666630592936883,0.646331476630499,0.652068969554391
"S127_G03_D01_B02_T01",100,150,0.02,3,147,0.724803805159871,0.721711264862164,0.721448795554508
"S127_G03_D01_B02_T01",100,150,0.04,6,144,0.724803805159871,0.720939739142668,0.722134657419522
"S127_G03_D01_B02_T01",100,150,0.06,9,141,0.724803805159871,0.721299486789613,0.724328181757461
"S127_G03_D01_B02_T01",100,150,0.08,12,138,0.724803805159871,0.723399737563881,0.721671620432357
"S127_G03_D01_B02_T01",100,150,0.1,15,135,0.724803805159871,0.719190193016205,0.724619380085978
"S127_G03_D01_B02_T01",100,200,0.02,4,196,0.725150179904653,0.726804765906634,0.725041522898485
"S127_G03_D01_B02_T01",100,200,0.04,8,192,0.725150179904653,0.725089232020897,0.725110974602837
"S127_G03_D01_B02_T01",100,200,0.06,12,188,0.725150179904653,0.727225351836581,0.726448312593314
"S127_G03_D01_B02_T01",100,200,0.08,16,184,0.725150179904653,0.72603752127144,0.72649750875402
"S127_G03_D01_B02_T01",100,200,0.1,20,180,0.725150179904653,0.724455179232932,0.726479918748091
"S127_G03_D01_B02_T02",100,50,0.02,1,49,0.714300891110441,0.712437617113979,0.709949973062018
"S127_G03_D01_B02_T02",100,50,0.04,2,48,0.714300891110441,0.715691427211682,0.714379138498586
"S127_G03_D01_B02_T02",100,50,0.06,3,47,0.714300891110441,0.711808763726021,0.710510512808894
"S127_G03_D01_B02_T02",100,50,0.08,4,46,0.714300891110441,0.705451133475779,0.70952695379552
"S127_G03_D01_B02_T02",100,50,0.1,5,45,0.714300891110441,0.713554455652861,0.715677256942112
"S127_G03_D01_B02_T02",100,100,0.02,2,98,0.71984296556632,0.725355848916851,0.723157833396001
"S127_G03_D01_B02_T02",100,100,0.04,4,96,0.71984296556632,0.723965643385004,0.726145874052593
"S127_G03_D01_B02_T02",100,100,0.06,6,94,0.71984296556632,0.722483988103643,0.722217118176166
"S127_G03_D01_B02_T02",100,100,0.08,8,92,0.71984296556632,0.723640885025901,0.722116939315426
"S127_G03_D01_B02_T02",100,100,0.1,10,90,0.71984296556632,0.725838739652589,0.723167868396104
"S127_G03_D01_B02_T02",100,150,0.02,3,147,0.684670828209724,0.687204915169217,0.68624911365174
"S127_G03_D01_B02_T02",100,150,0.04,6,144,0.684670828209724,0.685684065628024,0.684556393119474
"S127_G03_D01_B02_T02",100,150,0.06,9,141,0.684670828209724,0.684132217945238,0.684561392303356
"S127_G03_D01_B02_T02",100,150,0.08,12,138,0.684670828209724,0.682410892201983,0.686430115435251
"S127_G03_D01_B02_T02",100,150,0.1,15,135,0.684670828209724,0.679123543471023,0.68444377926413
